var,i,h,n,index_extra,value,lb,ub
x,apples,H3,,,5.0,0.0,15.0
x,apples,H1,,,1.0,0.0,3.0
x,apples,H2,,,2.0,0.0,9.0
x,beans,H3,,,6.0,0.0,15.0
x,beans,H1,,,1.0,0.0,3.0
x,beans,H2,,,4.0,0.0,9.0
x,rice,H3,,,11.0,0.0,15.0
x,rice,H1,,,2.0,0.0,3.0
x,rice,H2,,,6.0,0.0,9.0
x,milk,H3,,,11.0,0.0,15.0
x,milk,H1,,,3.0,0.0,3.0
x,milk,H2,,,7.0,0.0,9.0
u,prot,H3,,,0.36225,0.0,1.0
u,prot,H1,,,0.36224999999999996,0.0,1.0
u,prot,H2,,,0.36224999999999996,0.0,1.0
u,cal,H3,,,0.36225,0.0,1.0
u,cal,H1,,,0.3939999999999997,0.0,1.0
u,cal,H2,,,0.672,0.0,1.0
u,calc,H3,,,0.36225,0.0,1.0
u,calc,H1,,,0.38300000000000006,0.0,1.0
u,calc,H2,,,0.3622499999999997,0.0,1.0
y,apples,,,,0.0,0,
y,beans,,,,0.0,0,
y,rice,,,,0.0,0,
y,milk,,,,11.0,0,
y_active,apples,,,,0.0,0,1
y_active,beans,,,,0.0,0,1
y_active,rice,,,,0.0,0,1
y_active,milk,,,,1.0,0,1
dpos,apples,H3,,,0.5555555520000004,0,
dpos,apples,H1,,,0.11111111200000001,0,
dpos,apples,H2,,,0.0,0,
dpos,beans,H3,,,0.0,0,
dpos,beans,H1,,,0.0,0,
dpos,beans,H2,,,0.0,0,
dpos,rice,H3,,,0.0,0,
dpos,rice,H1,,,0.0,0,
dpos,rice,H2,,,0.0,0,
dpos,milk,H3,,,0.0,0,
dpos,milk,H1,,,0.666666669,0,
dpos,milk,H2,,,0.0,0,
dneg,apples,H3,,,0.0,0,
dneg,apples,H1,,,0.0,0,
dneg,apples,H2,,,0.6666666640000001,0,
dneg,beans,H3,,,0.6666666719999998,0,
dneg,beans,H1,,,0.33333333200000004,0,
dneg,beans,H2,,,-3.999999886872274e-09,0,
dneg,rice,H3,,,0.11111111999999856,0,
dneg,rice,H1,,,0.22222221999999991,0,
dneg,rice,H2,,,0.6666666600000006,0,
dneg,milk,H3,,,0.6666666759999984,0,
dneg,milk,H1,,,0.0,0,
dneg,milk,H2,,,-6.999999691004177e-09,0,
epsilon,,,,,,0,
