var,i,h,n,index_extra,value,lb,ub
x,rice,H2,,,9.0,0.0,9.0
x,rice,H3,,,8.0,0.0,15.0
x,rice,H1,,,3.0,0.0,3.0
x,beans,H2,,,5.0,0.0,9.0
x,beans,H3,,,7.0,0.0,15.0
x,beans,H1,,,2.0,0.0,3.0
x,milk,H2,,,9.0,0.0,9.0
x,milk,H3,,,6.0,0.0,15.0
x,milk,H1,,,3.0,0.0,3.0
x,apples,H2,,,3.0,0.0,9.0
x,apples,H3,,,3.0,0.0,15.0
x,apples,H1,,,2.0,0.0,3.0
u,calc,H2,,,0.472,0.0,1.0
u,calc,H3,,,0.20975000000000002,0.0,1.0
u,calc,H1,,,0.403,0.0,1.0
u,prot,H2,,,1.0,0.0,1.0
u,prot,H3,,,1.0,0.0,1.0
u,prot,H1,,,1.0,0.0,1.0
u,cal,H2,,,0.937,0.0,1.0
u,cal,H3,,,0.603157894736842,0.0,1.0
u,cal,H1,,,0.9695238095238095,0.0,1.0
y,rice,,,,0.0,0,
y,beans,,,,2.0,0,
y,milk,,,,8.0,0,
y,apples,,,,0.0,0,
y_active,rice,,,,0.0,0,1
y_active,beans,,,,1.0,0,1
y_active,milk,,,,1.0,0,1
y_active,apples,,,,0.0,0,1
dpos,rice,H2,,,2.333333333333334,0,
dpos,rice,H3,,,0.0,0,
dpos,rice,H1,,,0.7777777777777777,0,
dpos,beans,H2,,,0.33333333333333354,0,
dpos,beans,H3,,,0.0,0,
dpos,beans,H1,,,0.44444444444444453,0,
dpos,milk,H2,,,3.0000000000000004,0,
dpos,milk,H3,,,0.0,0,
dpos,milk,H1,,,1.0,0,
dpos,apples,H2,,,0.3333333333333335,0,
dpos,apples,H3,,,0.0,0,
dpos,apples,H1,,,1.1111111111111112,0,
dneg,rice,H2,,,0.0,0,
dneg,rice,H3,,,3.1111111111111107,0,
dneg,rice,H1,,,0.0,0,
dneg,beans,H2,,,-0.0,0,
dneg,beans,H3,,,0.7777777777777777,0,
dneg,beans,H1,,,-0.0,0,
dneg,milk,H2,,,-0.0,0,
dneg,milk,H3,,,4.0,0,
dneg,milk,H1,,,-0.0,0,
dneg,apples,H2,,,0.0,0,
dneg,apples,H3,,,1.4444444444444446,0,
dneg,apples,H1,,,0.0,0,
epsilon,,,,,0.15660731690336951,0,
