var,i,h,n,index_extra,value,lb,ub
x,apples,H2,,,3.0,0.0,9.0
x,apples,H1,,,1.0,0.0,3.0
x,apples,H3,,,6.0,0.0,15.0
x,beans,H2,,,4.0,0.0,9.0
x,beans,H1,,,2.0,0.0,3.0
x,beans,H3,,,7.0,0.0,15.0
x,rice,H2,,,7.0,0.0,9.0
x,rice,H1,,,3.0,0.0,3.0
x,rice,H3,,,11.0,0.0,15.0
x,milk,H2,,,4.0,0.0,9.0
x,milk,H1,,,2.0,0.0,3.0
x,milk,H3,,,7.0,0.0,15.0
u,calc,H2,,,0.2252,0.0,1.0
u,calc,H1,,,0.277,0.0,1.0
u,calc,H3,,,0.24650000000000002,0.0,1.0
u,prot,H2,,,1.0,0.0,1.0
u,prot,H1,,,1.0,0.0,1.0
u,prot,H3,,,1.0,0.0,1.0
u,cal,H2,,,0.7086666666666667,0.0,1.0
u,cal,H1,,,0.9142857142857143,0.0,1.0
u,cal,H3,,,0.74,0.0,1.0
y,apples,,,,2.0,0,
y,beans,,,,1.0,0,
y,rice,,,,1.0,0,
y,milk,,,,3.0,0,
y_active,apples,,,,1.0,0,1
y_active,beans,,,,1.0,0,1
y_active,rice,,,,1.0,0,1
y_active,milk,,,,1.0,0,1
dpos,apples,H2,,,0.0,0,
dpos,apples,H1,,,0.0,0,
dpos,apples,H3,,,0.4444444444444442,0,
dpos,beans,H2,,,0.0,0,
dpos,beans,H1,,,0.5555555555555556,0,
dpos,beans,H3,,,0.0,0,
dpos,rice,H2,,,0.0,0,
dpos,rice,H1,,,0.6666666666666666,0,
dpos,rice,H3,,,0.0,0,
dpos,milk,H2,,,0.0,0,
dpos,milk,H1,,,0.5555555555555555,0,
dpos,milk,H3,,,0.0,0,
dneg,apples,H2,,,0.33333333333333304,0,
dneg,apples,H1,,,0.11111111111111105,0,
dneg,apples,H3,,,-0.0,0,
dneg,beans,H2,,,0.3333333333333335,0,
dneg,beans,H1,,,0.0,0,
dneg,beans,H3,,,0.22222222222222232,0,
dneg,rice,H2,,,-0.0,0,
dneg,rice,H1,,,-0.0,0,
dneg,rice,H3,,,0.6666666666666661,0,
dneg,milk,H2,,,0.33333333333333304,0,
dneg,milk,H1,,,-0.0,0,
dneg,milk,H3,,,0.22222222222222232,0,
epsilon,,,,,0.0,0,
